,0,1,2,3,4
0,0.473,0.303,0.8240000000000001,-0.0771,0.6609999999999999
1,0.469,0.3,0.8320000000000001,-0.0819,0.667
2,0.33399999999999996,0.295,0.946,-0.262,0.868
3,0.33799999999999997,0.297,0.95,-0.254,0.866
4,0.9,0.261,0.9079999999999999,-0.0026100000000000003,0.20800000000000002
5,0.903,0.265,0.899,-0.00281,0.205
6,0.29100000000000004,0.113,0.9179999999999999,0.299,0.89
7,0.28600000000000003,0.11699999999999999,0.892,0.304,0.879
8,0.484,0.145,0.87,0.0397,0.66
9,0.488,0.149,0.877,0.0343,0.654
10,0.179,0.284,1.11,0.312,1.51
11,0.183,0.28300000000000003,1.1,0.273,1.44
12,0.938,0.33799999999999997,0.594,-0.00257,0.17
13,0.9420000000000001,0.336,0.61,-0.00274,0.165
14,0.9640000000000001,0.0267,0.258,-1.7100000000000002e-05,0.139
15,0.958,0.0254,0.247,-0.000118,0.145
16,0.313,0.386,0.46799999999999997,-0.0278,0.958
17,0.319,0.38799999999999996,0.42,-0.0231,0.932
18,0.856,0.0848,0.6779999999999999,0.00195,0.251
19,0.86,0.0883,0.6970000000000001,0.00205,0.247
20,0.873,0.152,0.917,0.0024100000000000002,0.23399999999999999
21,0.8740000000000001,0.147,0.909,0.00243,0.233
22,1.08,0.33899999999999997,0.5770000000000001,-0.00466,0.0305
23,1.08,0.345,0.54,-0.0035700000000000003,0.0316
24,0.47100000000000003,0.047,0.461,0.0187,0.644
25,0.46799999999999997,0.0509,0.494,0.0226,0.65
26,0.856,0.127,0.857,0.0028399999999999996,0.251
27,0.8540000000000001,0.133,0.873,0.0028899999999999998,0.253
28,0.311,0.17,0.41700000000000004,0.175,0.8
29,0.312,0.165,0.456,0.198,0.805
30,0.752,0.354,0.495,0.000791,0.358
31,0.7509999999999999,0.348,0.531,0.0009570000000000001,0.359
32,0.389,0.33399999999999996,0.8109999999999999,-0.121,0.782
33,0.386,0.33,0.836,-0.132,0.79
34,0.795,0.055,0.491,0.000863,0.315
35,0.7909999999999999,0.0565,0.502,0.0008210000000000001,0.32
36,0.45299999999999996,0.00517,0.0591,0.00046399999999999995,0.648
37,0.45,0.0,0.0,0.0,0.65
38,0.654,0.15,0.9159999999999999,-0.0036799999999999997,0.461
39,0.654,0.155,0.925,-0.00373,0.462
40,0.455,0.0,0.0,0.0,0.645
41,0.5760000000000001,0.0989,0.75,0.004379999999999999,0.539
42,0.575,0.10400000000000001,0.772,0.00451,0.54
43,0.6679999999999999,0.205,0.9640000000000001,-0.00195,0.446
44,0.664,0.20800000000000002,0.9640000000000001,-0.0021100000000000003,0.45
45,0.902,0.298,0.797,-0.0030399999999999997,0.207
46,0.9009999999999999,0.304,0.772,-0.00293,0.20800000000000002
47,0.935,0.166,0.943,-0.0005769999999999999,0.171
48,0.932,0.161,0.935,-0.000303,0.17300000000000001
49,0.20800000000000002,0.307,1.28,0.064,1.28
50,0.20800000000000002,0.311,1.29,0.0665,1.32
51,0.44799999999999995,0.222,0.85,-0.0568,0.722
52,0.451,0.228,0.86,-0.0646,0.716
53,1.09,0.0333,0.324,-0.00494,0.00943
54,1.09,0.0308,0.304,-0.00533,0.00175
55,0.395,0.0347,0.43200000000000005,0.03,0.7440000000000001
56,0.395,0.0296,0.375,0.0223,0.7390000000000001
57,0.23199999999999998,0.0268,0.665,0.0136,1.42
58,0.22899999999999998,0.022,0.5670000000000001,0.00799,1.45
59,0.45899999999999996,0.223,0.8690000000000001,-0.0531,0.705
60,0.462,0.228,0.875,-0.0598,0.7
61,0.295,0.0898,1.03,0.245,0.9570000000000001
62,0.293,0.0843,1.04,0.228,0.977
63,0.26899999999999996,0.28,0.875,-0.28800000000000003,0.8270000000000001
64,0.273,0.278,0.858,-0.295,0.8240000000000001
65,0.124,0.10800000000000001,0.95,-0.41700000000000004,2.33
66,0.12,0.105,0.937,-0.396,2.35
67,1.08,0.31,0.745,-0.00742,0.0216
68,1.08,0.311,0.7390000000000001,-0.00763,0.027
69,0.0583,0.0563,0.5429999999999999,-0.087,2.47
70,0.0635,0.058,0.5670000000000001,-0.0992,2.46
71,0.43799999999999994,0.0596,0.588,0.0445,0.69
72,0.434,0.0612,0.605,0.0488,0.6970000000000001
73,0.0986,0.358,0.637,0.125,2.29
74,0.10400000000000001,0.358,0.6629999999999999,0.133,2.27
75,0.871,0.14400000000000002,0.9009999999999999,0.00253,0.23600000000000002
76,0.873,0.14,0.8909999999999999,0.00252,0.23399999999999999
77,0.377,0.395,0.228,-0.00788,0.767
78,0.381,0.39899999999999997,0.17,-0.00464,0.755
79,0.337,0.0633,0.826,0.136,0.883
80,0.33399999999999996,0.0593,0.81,0.126,0.894
81,0.505,0.36200000000000004,0.46,-0.0157,0.602
82,0.501,0.358,0.49700000000000005,-0.0195,0.609
83,1.01,0.00982,0.0996,-6.0299999999999995e-05,0.0904
84,1.01,0.0051,0.0523,-4.44e-05,0.0946
85,0.507,0.375,0.348,-0.008579999999999999,0.598
86,0.503,0.37,0.39,-0.0114,0.604
87,0.9059999999999999,0.363,0.42700000000000005,-0.00115,0.20199999999999999
88,0.905,0.358,0.465,-0.00132,0.203
89,0.7959999999999999,0.0391,0.368,0.00047699999999999994,0.315
90,0.79,0.0387,0.364,0.000426,0.321
91,0.252,0.298,1.11,-0.212,0.9540000000000001
92,0.248,0.29600000000000004,1.11,-0.201,0.9520000000000001
93,0.784,0.226,0.953,0.00212,0.325
94,0.779,0.223,0.955,0.0021899999999999997,0.33
95,0.9309999999999999,0.205,0.9670000000000001,-0.0019199999999999998,0.17600000000000002
96,0.9259999999999999,0.20199999999999999,0.9670000000000001,-0.00162,0.18100000000000002
97,0.498,0.0157,0.162,0.00155,0.607
98,0.495,0.0197,0.203,0.00251,0.61
99,0.772,0.00514,0.0533,2.61e-05,0.33899999999999997
100,0.777,0.00486,0.0504,1.65e-05,0.33299999999999996
101,0.27399999999999997,0.395,0.368,-0.0113,1.13
102,0.28,0.39399999999999996,0.373,-0.0128,1.1
103,0.28,0.16899999999999998,0.26899999999999996,0.187,0.6890000000000001
104,0.27899999999999997,0.16399999999999998,0.317,0.214,0.698
105,0.7879999999999999,0.212,0.961,0.00215,0.321
106,0.7829999999999999,0.21,0.961,0.00217,0.327
107,0.374,0.38,0.433,-0.0291,0.789
108,0.377,0.377,0.465,-0.0338,0.784
109,0.0738,0.231,0.8270000000000001,0.188,2.81
110,0.069,0.22899999999999998,0.8440000000000001,0.161,2.81
111,1.1,0.212,0.972,-0.00549,0.00434
112,1.1,0.21,0.973,-0.00539,0.0
113,0.759,0.341,0.581,0.0010400000000000001,0.35100000000000003
114,0.76,0.336,0.608,0.00114,0.35
115,1.1,0.215,0.971,-0.0056,0.0
116,0.7609999999999999,0.23,0.9490000000000001,0.0021899999999999997,0.349
117,0.764,0.22699999999999998,0.9520000000000001,0.0021899999999999997,0.34600000000000003
118,0.41100000000000003,0.10800000000000001,0.8220000000000001,0.124,0.7509999999999999
119,0.40700000000000003,0.107,0.8240000000000001,0.129,0.757
120,0.11599999999999999,0.036,0.551,-0.0804,2.29
121,0.122,0.0352,0.563,-0.0791,2.27
122,0.966,0.0923,0.716,-0.000332,0.13699999999999998
123,0.973,0.0935,0.722,-0.000585,0.13
124,0.402,0.106,0.826,0.136,0.765
125,0.993,0.182,0.9620000000000001,-0.00339,0.111
126,0.998,0.17800000000000002,0.958,-0.00335,0.106
127,1.08,0.358,0.447,-0.00023500000000000002,0.0332
128,1.08,0.358,0.446,-0.000992,0.0356
129,0.00432,0.0975,0.725,-0.0132,2.58
130,0.0087,0.0958,0.7170000000000001,-0.026,2.57
131,0.184,0.093,1.22,-0.214,1.63
132,0.18,0.0956,1.21,-0.24600000000000002,1.67
133,0.925,0.325,0.6709999999999999,-0.00288,0.183
134,0.93,0.325,0.6709999999999999,-0.00297,0.17800000000000002
135,0.0592,0.0833,0.7070000000000001,-0.149,2.5
136,0.0579,0.0792,0.684,-0.138,2.49
137,0.616,0.308,0.76,-0.0047799999999999995,0.495
138,0.619,0.304,0.775,-0.00439,0.49200000000000005
139,0.0552,0.0865,0.715,-0.14400000000000002,2.51
140,0.0554,0.0825,0.696,-0.138,2.5
141,0.5670000000000001,0.377,0.312,-0.0025800000000000003,0.5379999999999999
142,0.563,0.373,0.35,-0.0035700000000000003,0.542
143,0.273,0.12300000000000001,0.83,0.304,0.8390000000000001
144,0.275,0.128,0.7659999999999999,0.306,0.82
145,0.53,0.228,0.9359999999999999,-0.0308,0.603
146,0.535,0.23,0.937,-0.0303,0.596
147,0.35600000000000004,0.124,0.8170000000000001,0.22,0.835
148,0.35700000000000004,0.11900000000000001,0.835,0.21899999999999997,0.835
149,0.32799999999999996,0.22899999999999998,0.489,-0.149,0.821
150,0.32899999999999996,0.235,0.5329999999999999,-0.17600000000000002,0.825
151,0.8690000000000001,0.14800000000000002,0.91,0.00255,0.23800000000000002
152,0.7290000000000001,0.226,0.953,0.0016699999999999998,0.381
153,0.726,0.222,0.956,0.00155,0.384
154,0.418,0.0411,0.462,0.0309,0.711
155,0.42200000000000004,0.043,0.474,0.0317,0.7070000000000001
156,0.305,0.0307,0.581,0.0476,0.983
157,0.304,0.0362,0.664,0.0631,0.99
158,0.836,0.11199999999999999,0.805,0.0028399999999999996,0.272
159,0.838,0.109,0.792,0.00278,0.27
160,0.41200000000000003,0.0563,0.6,0.0564,0.728
161,0.409,0.0517,0.568,0.0508,0.73
162,0.726,0.162,0.934,7.44e-06,0.386
163,0.723,0.16699999999999998,0.941,2.49e-05,0.389
